"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","100/1560","340/29171",1.88938740713487e-46,1.2677789501875e-43,7.29900187808944e-44,"P63244/P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P13639/P39019/P60866/P62851/P62857/Q9UNX3/P27824/O00571/P46782/P62829/P98179/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/Q8IXM3/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/Q9P2E9/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/P22090/Q9Y3D9/Q8TD47/Q9BYD6/Q9Y2R5/P62424/P51398/P62266/P46778/P84098/O95182/P62280/Q16540/Q6P1L8/Q9NP92/P46779/P52815/Q8N5N7/Q9H9J2/Q9NQ50/Q96GC5/P19525/Q7Z7H8/Q9NRX2/Q9Y3B7/Q9UHB9/Q92552/P62906/Q13405/Q9Y2Q9/P27695/Q13084/Q9BYD3/P49406/Q96DV4/Q9NYK5/P82650/Q92665/P82933/Q8NE71",100
"GO:0044391","GO:0044391","ribosomal subunit","81/1560","239/29171",5.85326513268132e-43,1.96377045201458e-40,1.13060437036529e-40,"P63244/P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/O00571/P46782/P62829/P98179/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/Q8IXM3/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/P22090/Q8TD47/Q9BYD6/Q9Y2R5/P62424/P51398/P62266/P46778/P84098/P62280/Q16540/P46779/P52815/Q7Z7H8/Q9NRX2/Q9Y3B7/P62906/Q13405/Q9Y2Q9/Q13084/P49406/P82650/Q92665/P82933",81
"GO:0043209","GO:0043209","myelin sheath","95/1560","337/29171",2.03177381917305e-42,4.54440077555038e-40,2.61635435661933e-40,"P07355/P63261/P10809/P68371/P35232/P40926/P06576/P68363/Q71U36/P04350/P30048/P25705/P62834/P30101/P11021/P21796/P00505/P26038/P38646/P11142/Q15019/P05556/P27824/P55072/P62873/O75489/P60953/P13987/Q06830/P31930/Q05639/P78371/P04216/P14174/P15311/P28331/P62879/P50213/P62987/P36542/Q16891/Q99798/P22695/P08559/P49368/P62979/P45880/P35241/P36957/P61163/P61981/P05141/P54920/P17987/Q9P2R7/P48643/P54652/O75746/P07900/P24539/Q9HAV0/P19404/Q92599/P07195/P0CG47/P12235/Q9NZN3/P46459/P15531/O95299/P14618/P31040/P09936/P50395/P09622/P21281/P10515/P47985/P09471/P06396/O43175/P09104/P31150/P0CG48/P09543/P14136/Q16352/P38606/P07196/P02768/P61764/Q8N3R9/P12036/Q8WUM4/Q7Z406",95
"GO:0044445","GO:0044445","cytosolic part","95/1560","352/29171",1.17757257144151e-40,1.97537798859314e-38,1.13728719399746e-38,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P30048/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/O00571/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P78371/P06733/P18621/P46776/P62249/P62910/Q86Y82/P46783/P40227/P62750/P62913/P62987/Q99832/P62917/P61247/Q02878/P50990/P49368/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/P22090/P50991/Q8TD47/P17987/P62424/P48643/P62266/P00387/P46778/P62333/P84098/P62280/P02042/P46779/P68871/P02100/P69891/P69892/P43686/P62191/P13929/P62906/O00487/Q9BTU6/Q96EY1/P09104/P17980/P62195/P35998/Q92526/P07196/Q99460/Q02846",95
"GO:0022626","GO:0022626","cytosolic ribosome","63/1560","161/29171",5.60075783732102e-38,7.51621701768481e-36,4.32732237115119e-36,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/O00571/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/P22090/Q8TD47/P62424/P62266/P46778/P84098/P62280/P46779/P62906",63
"GO:0000786","GO:0000786","nucleosome","44/1560","91/29171",1.03580705966703e-31,1.15837756172763e-29,6.66914369996139e-30,"P62805/Q16777/Q9BTM1/P04908/P0C0S8/P20671/Q6FI13/Q7L7L0/Q8IUE6/Q93077/Q96KK5/Q96QV6/P0C0S5/Q71UI9/P16104/P10412/P16402/P16403/P68431/P84243/Q16695/Q71DI3/O60814/P06899/P23527/P33778/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q99877/Q99879/Q99880/P16401/P22492/O75367/Q02539/Q6NXT2/Q5SSJ5/Q96A08/Q92794/Q8WYB5",44
"GO:0044815","GO:0044815","DNA packaging complex","44/1560","111/29171",3.36855173248904e-27,3.22899744642878e-25,1.85903531702779e-25,"P62805/Q16777/Q9BTM1/P04908/P0C0S8/P20671/Q6FI13/Q7L7L0/Q8IUE6/Q93077/Q96KK5/Q96QV6/P0C0S5/Q71UI9/P16104/P10412/P16402/P16403/P68431/P84243/Q16695/Q71DI3/O60814/P06899/P23527/P33778/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q99877/Q99879/Q99880/P16401/P22492/O75367/Q02539/Q6NXT2/Q5SSJ5/Q96A08/Q92794/Q8WYB5",44
"GO:0042470","GO:0042470","melanosome","56/1560","201/29171",3.35432463949319e-25,2.50083537011103e-23,1.43980952361871e-23,"P07355/P23284/P61019/P51149/P30101/P11021/P51148/P11142/P14625/P05556/P07237/P27824/P04843/O75396/Q06830/P30040/Q7KZF4/Q15084/P02786/P49755/P62820/P35613/Q14697/P13667/P62258/P50991/P63104/Q00610/O00194/P08238/P55209/P08195/P07900/O43852/O00560/P63000/Q15758/P11279/P62826/P08133/P08962/Q16563/P20339/P50281/P51159/P61020/P21281/P54709/P07858/Q92542/Q92820/P07339/O75955/P09543/Q8WUM4/P35749",56
"GO:0048770","GO:0048770","pigment granule","56/1560","201/29171",3.35432463949319e-25,2.50083537011103e-23,1.43980952361871e-23,"P07355/P23284/P61019/P51149/P30101/P11021/P51148/P11142/P14625/P05556/P07237/P27824/P04843/O75396/Q06830/P30040/Q7KZF4/Q15084/P02786/P49755/P62820/P35613/Q14697/P13667/P62258/P50991/P63104/Q00610/O00194/P08238/P55209/P08195/P07900/O43852/O00560/P63000/Q15758/P11279/P62826/P08133/P08962/Q16563/P20339/P50281/P51159/P61020/P21281/P54709/P07858/Q92542/Q92820/P07339/O75955/P09543/Q8WUM4/P35749",56
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","30/1560","57/29171",1.84349348167494e-23,1.23698412620388e-21,7.12170639762845e-22,"P62269/P62854/P25398/P08865/P62241/P62701/P62753/P23396/P62244/P39019/P60866/P62851/P62857/O00571/P46782/P62263/P62841/P62847/P63220/P62249/P46783/P61247/P15880/P62081/P62277/P62979/P22090/Q8TD47/P62266/P62280",30
"GO:0005681","GO:0005681","spliceosomal complex","66/1560","307/29171",1.51302047177344e-22,9.22942487781798e-21,5.31366998220912e-21,"P22626/P62304/P09651/P17844/P31943/Q32P51/P61978/P11142/P67809/P11940/P51991/P55769/P62316/P62318/P07910/O60506/P08621/P62306/P62314/O43390/P26368/Q13838/P52597/P0DN76/Q01081/Q9UKM9/P52272/O95777/Q12874/Q9Y333/P09661/Q00839/Q07955/Q15427/Q86V81/Q7RTV0/Q9Y3B4/P38159/O00148/P31942/P17931/Q01130/Q9UMS4/O14979/P09012/Q8WXA9/O43172/P14678/P63162/Q15029/P49756/Q9BZZ5/Q8N163/Q9Y383/Q15459/O43290/P38919/Q8WWY3/Q96IZ5/P55265/O75400/Q8IYB3/Q13435/Q9UPN6/O75643/O94906",66
"GO:0015934","GO:0015934","large ribosomal subunit","44/1560","141/29171",2.86796511636098e-22,1.60367049423185e-20,9.23283506758314e-21,"P05387/P05388/P35268/P83731/P30050/P61254/P05386/P62888/Q9UNX3/P62829/P98179/P26373/P62899/Q02543/Q8IXM3/P18621/P46776/P62910/P62750/P62913/P62987/P62917/Q02878/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/Q9BYD6/P62424/P46778/P84098/Q16540/P46779/P52815/Q7Z7H8/Q9NRX2/Q9Y3B7/P62906/Q13405/Q13084/P49406",44
"GO:0015935","GO:0015935","small ribosomal subunit","37/1560","98/29171",3.2498664924528e-22,1.67743108956602e-20,9.65749799781519e-21,"P63244/P62269/P62854/P25398/P08865/P62241/P62701/P62753/P23396/P62244/P39019/P60866/P62851/P62857/O00571/P46782/P62263/P62841/P62847/P63220/P62249/P46783/P61247/P15880/P62081/P62277/P62979/P22090/Q8TD47/Q9Y2R5/P51398/P62266/P62280/Q9Y2Q9/P82650/Q92665/P82933",37
"GO:0032993","GO:0032993","protein-DNA complex","55/1560","227/29171",1.36081865522089e-21,6.52220941180868e-20,3.75504095087267e-20,"P62805/Q16777/Q9BTM1/P04908/P0C0S8/P20671/Q6FI13/Q7L7L0/Q8IUE6/Q93077/Q96KK5/Q96QV6/P0C0S5/Q71UI9/P16104/P52926/P61978/P10412/P16402/P16403/P68431/P84243/Q16695/Q71DI3/O60814/P06899/P23527/P33778/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q99877/Q99879/Q99880/P16401/P22492/O75367/Q02539/Q6NXT2/P35244/Q00577/Q96QR8/Q5SSJ5/Q96A08/Q9UMS4/P35222/P12956/P13010/Q13422/P14923/Q92794/Q8WYB5",55
"GO:0098798","GO:0098798","mitochondrial protein complex","53/1560","215/29171",3.15967752720253e-21,1.41342908050193e-19,8.13755545602336e-20,"P48047/O75947/P06576/P40939/P25705/O75489/P49821/Q5XKP0/P31930/O96008/O75964/O96000/P28331/P30049/P56134/P56378/Q9UDW1/Q3ZCQ8/P36542/Q16891/P56385/P22695/P12236/O75439/O00483/Q9NX63/Q9Y5L4/O94826/O43920/Q15388/Q16718/Q16795/O95168/P14927/P30405/P24539/P19404/O95182/P56556/Q9UI09/Q9Y3D7/O14925/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P10515/P47985/Q8TCS8/P11182",53
"GO:0005882","GO:0005882","intermediate filament","58/1560","256/29171",3.75708368464257e-21,1.57562697024698e-19,9.07137968594621e-20,"P08670/P05787/P08727/P05783/P02545/P20700/Q03252/P13646/P19012/Q04695/P15531/P08729/O95678/P02533/P08779/P17661/P02538/P04259/P41219/P48668/Q9NSB2/P12035/P13647/Q7Z794/Q5XKE5/P04264/P48681/Q01546/P48729/Q8N1A0/O76014/O76015/Q7Z3Y7/P13645/Q14525/Q15323/Q14532/P78385/Q14533/O76013/P35900/Q92764/P14136/Q2M2I5/O43790/Q86Y46/Q3SY84/Q7RTS7/P78386/Q14CN4/Q16352/Q8N1N4/P07196/P35908/P14923/P12036/P07197/Q03001",58
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","45/1560","164/29171",3.14130837833809e-20,1.23989289521462e-18,7.13845309504693e-19,"P48047/O75947/P06576/P25705/O75489/P49821/Q5XKP0/P31930/O75964/O96000/P28331/P30049/P56134/P56378/Q9UDW1/Q3ZCQ8/P36542/Q16891/P56385/P22695/P12236/O75439/O00483/Q9NX63/O43920/Q16718/Q16795/O95168/P14927/P30405/P24539/P19404/O95182/P56556/Q9UI09/Q9Y3D7/O14925/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",45
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","33/1560","94/29171",7.93324442323646e-19,2.95733722666203e-17,1.70263199025016e-17,"P05387/P05388/P35268/P83731/P30050/P61254/P05386/P62888/Q9UNX3/P62829/P26373/P62899/Q02543/P18621/P46776/P62910/P62750/P62913/P62987/P62917/Q02878/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/P62424/P46778/P84098/P46779/P62906",33
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","63/1560","345/29171",8.64458462706328e-18,3.05290330776814e-16,1.75765238677685e-16,"P08670/P05787/P08727/P05783/P02545/Q15149/P20700/P50990/Q03252/Q9Y3D9/P13646/P19012/Q04695/P15531/P08729/O95678/P02533/P08779/P17661/P02538/P04259/P41219/P48668/Q9NSB2/P12035/P13647/Q7Z794/Q5XKE5/P04264/Q99442/P48681/Q01546/P48729/Q8N1A0/O75616/O76014/O76015/Q7Z3Y7/P13645/Q14525/Q15323/Q14532/P78385/Q14533/O76013/P35900/Q92764/P14136/Q2M2I5/O43790/Q86Y46/Q3SY84/Q7RTS7/P78386/Q14CN4/Q16352/Q8N1N4/P07196/P35908/P14923/P12036/P07197/Q03001",63
"GO:0044455","GO:0044455","mitochondrial membrane part","57/1560","290/29171",9.73010113342962e-18,3.26444893026564e-16,1.87944585050983e-16,"P10809/P48047/O75947/P06576/P25705/O75489/P49821/Q5XKP0/P31930/O96008/O75964/O96000/P28331/P30049/P56134/P56378/Q9UDW1/Q9Y3D6/Q3ZCQ8/P36542/Q16891/P14406/P56385/P22695/P12236/O75439/O00483/Q9NX63/O94826/O43920/P07919/Q15388/Q16718/Q16795/O95168/P14927/P30405/P24539/P19404/O95182/P56556/Q9UI09/Q9Y3D7/O14925/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985/Q9GZY8/P50336/Q8IXI1/O60313/Q6SZW1",57
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","62/1560","345/29171",3.53308838190895e-17,1.12890585917186e-15,6.49946584541646e-16,"P23284/P50454/P30101/P11021/P13674/O15460/P14625/P07237/P27824/P27797/P14314/P30040/Q96D15/O14656/Q15084/P61769/Q8TED1/Q8NBS9/Q14697/Q9BS26/P13667/Q32P28/Q15293/Q12797/Q9BTV4/P02452/Q9Y4L1/P12111/Q969H8/Q9UBS4/Q96AY3/O43852/Q14257/Q96HE7/Q8IXB1/Q03405/Q9NYU2/Q13217/P02461/P08123/O75718/Q8IVL6/Q9BT09/P12109/Q8NBJ7/Q9Y680/Q8NBJ5/O14657/O95479/P07996/P30533/Q8NBL1/Q96DZ1/Q14554/Q5TAT6/Q9BZQ6/P02462/P02458/P08572/P20908/P12107/Q92538",62
"GO:0071013","GO:0071013","catalytic step 2 spliceosome","40/1560","155/29171",4.10107029085397e-17,1.25082643871046e-15,7.20140094135602e-16,"P22626/P62304/P09651/P17844/P31943/P61978/P11940/P51991/P62316/P62318/P07910/O60506/P62306/P62314/O43390/P52597/P0DN76/Q01081/Q9UKM9/P52272/Q12874/Q9Y333/P09661/Q00839/Q07955/Q86V81/Q7RTV0/Q9Y3B4/P38159/Q9UMS4/P14678/P63162/Q15029/Q15459/O43290/P38919/Q8IYB3/Q13435/O75643/O94906",40
"GO:0000788","GO:0000788","nuclear nucleosome","18/1560","34/29171",1.12965701426795e-14,3.29565155032084e-13,1.89741017957133e-13,"Q7L7L0/P68431/P84243/Q16695/O60814/P06899/P23527/P33778/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q99877/Q99879/Q99880/Q96A08",18
"GO:1990204","GO:1990204","oxidoreductase complex","37/1560","165/29171",7.45490086033751e-14,2.0842660322027e-12,1.19997746304556e-12,"P13674/O15460/P11177/P07237/O75489/P49821/P31930/O96000/P28331/Q9UDW1/P22695/P08559/P36957/O75439/O00483/O43920/Q16718/Q16795/O95168/P14927/P19404/O95182/P56556/Q9UI09/Q02218/P21912/O95299/P31040/O75306/O75251/P09622/O00217/P10515/P47985/P43304/P11182/Q9ULD0",37
"GO:0035770","GO:0035770","ribonucleoprotein granule","47/1560","266/29171",4.4309175480061e-13,1.18925826988484e-11,6.84693364260311e-12,"P07437/P60709/P05388/Q71U36/P62701/P62753/O00571/P67809/P60953/P11940/P51991/Q13283/Q92499/Q02878/O15523/P19338/Q92945/Q9NZI8/Q14011/Q13310/P06730/Q9Y333/Q00839/Q9BWF3/Q13501/P63000/Q01085/P46779/P11387/Q14444/Q9NR56/Q12849/Q08211/P31483/Q92600/P17980/P26196/P35998/P46940/O95793/Q16352/Q8TB72/Q14671/Q8WWM7/Q9NQI0/Q6P2E9/A5YKK6",47
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","45/1560","251/29171",8.19527160037531e-13,2.11501047840455e-11,1.21767800701933e-11,"P07437/P60709/P05388/Q71U36/P62701/P62753/O00571/P67809/P60953/P11940/Q13283/Q92499/Q02878/O15523/P19338/Q92945/Q9NZI8/Q14011/Q13310/P06730/Q9Y333/Q00839/Q9BWF3/Q13501/P63000/Q01085/P46779/P11387/Q14444/Q9NR56/Q08211/P31483/Q92600/P17980/P26196/P35998/P46940/O95793/Q16352/Q8TB72/Q14671/Q8WWM7/Q9NQI0/Q6P2E9/A5YKK6",45
"GO:0045095","GO:0045095","keratin filament","28/1560","107/29171",1.43554506819099e-12,3.5675953361339e-11,2.05397676423428e-11,"P05787/P05783/P13646/P08729/O95678/P02533/P02538/P04259/P48668/Q9NSB2/P12035/P13647/Q7Z794/Q5XKE5/P04264/Q01546/P48729/P13645/P78385/Q14533/O43790/Q86Y46/Q3SY84/Q7RTS7/P78386/Q14CN4/Q8N1N4/P35908",28
"GO:0005793","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","36/1560","183/29171",9.78164399432458e-12,2.33815755618209e-10,1.34615079318978e-10,"P50454/P61019/P11021/Q12907/P07237/O75396/P13987/Q15084/Q9H0U4/P49755/Q969X5/Q9BS26/Q9BVK6/P15144/P09429/Q9NRW1/Q02818/P53618/Q969H8/P49257/Q99653/Q96EK6/P02751/Q9NYU2/O14653/O15260/Q15363/P53990/Q9Y282/Q96KG9/P80303/Q08379/O14983/Q14789/Q92538/Q5VYK3",36
"GO:0030135","GO:0030135","coated vesicle","60/1560","429/29171",1.01053009134546e-11,2.33815755618209e-10,1.34615079318978e-10,"P10809/P11142/O75396/P13987/Q9Y678/P61769/Q13492/P49755/P10321/P55735/P61106/P63027/Q15836/Q9BVK6/P30460/O14579/P53618/Q10567/Q00610/O00194/P01889/P61923/P63010/P49257/P04439/O95782/P30443/O94979/O94855/O14653/P09496/O94973/P50570/P84077/Q15363/Q9Y6B6/P53621/P51159/O43493/P48444/P42892/P61006/Q15436/Q96KG9/Q9H0V9/O60641/P53992/Q14677/Q08379/Q9Y5X1/Q07954/P05067/O95486/Q9UBF2/P35606/O00203/P00533/P11717/P53675/Q5VYK3",60
"GO:0097525","GO:0097525","spliceosomal snRNP complex","24/1560","86/29171",1.26322805757822e-11,2.82542008878329e-10,1.6266831478288e-10,"P62304/P62316/P62318/P08621/P62306/P62314/Q13838/O95777/Q9Y333/P09661/Q7RTV0/Q9Y3B4/P09012/O43172/P14678/P63162/Q9Y383/Q15459/O43290/Q8WWY3/O75400/Q13435/O75643/O94906",24
"GO:0070469","GO:0070469","respiratory chain","30/1560","134/29171",1.74290751039828e-11,3.77255141766855e-10,2.17197642212622e-10,"O75489/P49821/P31930/O96000/P28331/P99999/Q9UDW1/P14406/P22695/O75439/O00483/O43920/P07919/Q16718/Q16795/O95168/P14927/P19404/P08574/O95182/P56556/Q9UI09/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",30
"GO:0098803","GO:0098803","respiratory chain complex","26/1560","103/29171",2.18007752626742e-11,4.571350062892e-10,2.63186990835574e-10,"O75489/P49821/P31930/O96000/P28331/Q9UDW1/P22695/O75439/O00483/O43920/Q16718/Q16795/O95168/P14927/P19404/O95182/P56556/Q9UI09/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",26
"GO:0010494","GO:0010494","cytoplasmic stress granule","20/1560","62/29171",3.44785545077038e-11,6.99192194731901e-10,4.02546922059154e-10,"O00571/P67809/P11940/Q13283/Q92499/Q92945/Q9NZI8/Q14011/Q13310/P06730/Q9BWF3/Q01085/Q14444/Q9NR56/P31483/P26196/O95793/Q8TB72/Q14671/Q8WWM7",20
"GO:0005746","GO:0005746","mitochondrial respiratory chain","28/1560","121/29171",3.54285165735986e-11,6.99192194731901e-10,4.02546922059154e-10,"O75489/P49821/P31930/O96000/P28331/Q9UDW1/P14406/P22695/O75439/O00483/O43920/P07919/Q16718/Q16795/O95168/P14927/P19404/O95182/P56556/Q9UI09/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",28
"GO:0009295","GO:0009295","nucleoid","23/1560","87/29171",1.12397212061058e-10,2.09495914702695e-09,1.20613382533358e-09,"Q99714/P06576/P40939/P21796/P38646/Q96AG4/P34897/P49411/P42704/P49748/Q04837/P55084/P45880/P05141/Q9NVI7/Q9Y2S7/P36776/Q12849/P29372/Q00059/Q96EY1/P11182/Q7L0Y3",23
"GO:0042645","GO:0042645","mitochondrial nucleoid","23/1560","87/29171",1.12397212061058e-10,2.09495914702695e-09,1.20613382533358e-09,"Q99714/P06576/P40939/P21796/P38646/Q96AG4/P34897/P49411/P42704/P49748/Q04837/P55084/P45880/P05141/Q9NVI7/Q9Y2S7/P36776/Q12849/P29372/Q00059/Q96EY1/P11182/Q7L0Y3",23
"GO:0030120","GO:0030120","vesicle coat","22/1560","81/29171",1.6037091456666e-10,2.90834820741158e-09,1.67442747214692e-09,"Q9Y678/Q13492/O14579/P53618/Q00610/P61923/P63010/O95782/O94979/O94855/P09496/O94973/P53621/P48444/Q15436/Q96KG9/P53992/O95486/Q9UBF2/P35606/P00533/P53675",22
"GO:0030532","GO:0030532","small nuclear ribonucleoprotein complex","24/1560","97/29171",1.99985948423834e-10,3.5313308261156e-09,2.03309814602624e-09,"P62304/P62316/P62318/P08621/P62306/P62314/Q13838/O95777/Q9Y333/P09661/Q7RTV0/Q9Y3B4/P09012/O43172/P14678/P63162/Q9Y383/Q15459/O43290/Q8WWY3/O75400/Q13435/O75643/O94906",24
"GO:0005885","GO:0005885","Arp2/3 protein complex","11/1560","20/29171",1.06104243688229e-09,1.82553711576414e-08,1.05101909402375e-08,"P61158/O15145/P59998/P61160/O15144/O15511/O15143/Q9C0K3/Q9P1U1/Q9BPX5/Q92747",11
